run_id,run_name,state,use_self_attention_oe,attention_top_p,masking_probability,attention_filtering_method,oe_source,oe_method,dataset,num_epochs,auroc_ag_news,aupr_ag_news,fpr95_ag_news,auroc_wikitext,aupr_wikitext,fpr95_wikitext,auroc_mean,aupr_mean,fpr95_mean,id_val_f1,val_accuracy,val_auroc,generated_oe,processed_oe,epoch,runtime
idxf7cnl,20newsgroups_Self_Attention_OE_entropy_elbow_higher_cross_20251009_081800,finished,True,0.25,0.05,entropy_elbow_higher,Self_Attention_OE_entropy_elbow_higher,SelfAttention,20newsgroups,5,0.753667403152158,0.7565230182711014,0.7118868758285462,0.8514209518493538,0.8418983512354522,0.4812196199734865,0.8025441775007559,0.7992106847532767,0.5965532479010163,0.7329975962638855,0.7410516738891602,0.9657136797904968,1231,9051,4,1274
z9f6wson,20newsgroups_Self_Attention_OE_max_attention_elbow_lower_cross_20251009_083923,finished,True,0.25,0.05,max_attention_elbow_lower,Self_Attention_OE_max_attention_elbow_lower,SelfAttention,20newsgroups,5,0.7893967447341288,0.803278032922832,0.6752098983650022,0.8484474110596865,0.8461374086417279,0.5108263367211666,0.8189220778969076,0.8247077207822799,0.5930181175430844,0.7319496870040894,0.7410516738891602,0.9632055163383484,1231,9051,4,1318
rrmfqb0e,20newsgroups_Self_Attention_OE_removed_avg_elbow_higher_cross_20251009_090129,finished,True,0.25,0.05,removed_avg_elbow_higher,Self_Attention_OE_removed_avg_elbow_higher,SelfAttention,20newsgroups,5,0.7492796435410223,0.7529125963168082,0.726027397260274,0.8495243078974503,0.8401856775281107,0.4958020326999558,0.7994019757192363,0.7965491369224594,0.6109147149801148,0.7308884263038635,0.7401679158210754,0.9625191688537598,1229,9051,4,1322
k62v1rht,20newsgroups_Self_Attention_OE_top_k_avg_elbow_lower_cross_20251009_092339,finished,True,0.25,0.05,top_k_avg_elbow_lower,Self_Attention_OE_top_k_avg_elbow_lower,SelfAttention,20newsgroups,5,0.786304021210782,0.7979154544141378,0.6491383119752541,0.8664365730942469,0.8651891630196896,0.4745912505523641,0.8263702971525144,0.8315523087169137,0.5618647812638091,0.7273295521736145,0.736190915107727,0.9647765159606934,1232,9051,4,1310
m4p0tj3m,20newsgroups_Self_Attention_OE_sequential_cross_20251009_094538,finished,True,0.25,0.05,sequential,Self_Attention_OE_sequential,SelfAttention,20newsgroups,5,0.8460527323611724,0.8388171242152166,0.4900574458683164,0.7651724538921321,0.7548576879792372,0.7719840919133893,0.8056125931266522,0.796837406097227,0.6310207688908529,0.7361027002334595,0.7454706430435181,0.9613391757011414,9051,9051,4,1275
kh98th11,20newsgroups_Self_Attention_OE_entropy_elbow_higher_cross_20251009_160027,finished,True,0.25,0.05,entropy_elbow_higher,Self_Attention_OE_entropy_elbow_higher,SelfAttention,20newsgroups,5,0.753667403152158,0.7565230182711014,0.7118868758285462,0.8514209518493538,0.8418983512354522,0.4812196199734865,0.8025441775007559,0.7992106847532767,0.5965532479010163,0.7329975962638855,0.7410516738891602,0.9657136797904968,1231,9051,4,1357
jg6xnb45,20newsgroups_Self_Attention_OE_max_attention_elbow_lower_cross_20251009_162312,finished,True,0.25,0.05,max_attention_elbow_lower,Self_Attention_OE_max_attention_elbow_lower,SelfAttention,20newsgroups,5,0.7893967447341288,0.803278032922832,0.6752098983650022,0.8484474110596865,0.8461374086417279,0.5108263367211666,0.8189220778969076,0.8247077207822799,0.5930181175430844,0.7319496870040894,0.7410516738891602,0.9632055163383484,1231,9051,4,1357
p5enb3gy,20newsgroups_Self_Attention_OE_removed_avg_elbow_higher_cross_20251009_164557,finished,True,0.25,0.05,removed_avg_elbow_higher,Self_Attention_OE_removed_avg_elbow_higher,SelfAttention,20newsgroups,5,0.7492796435410223,0.7529125963168082,0.726027397260274,0.8495243078974503,0.8401856775281107,0.4958020326999558,0.7994019757192363,0.7965491369224594,0.6109147149801148,0.7308884263038635,0.7401679158210754,0.9625191688537598,1229,9051,4,1334
wbrlq277,20newsgroups_Self_Attention_OE_top_k_avg_elbow_lower_cross_20251009_170820,finished,True,0.25,0.05,top_k_avg_elbow_lower,Self_Attention_OE_top_k_avg_elbow_lower,SelfAttention,20newsgroups,5,0.786304021210782,0.7979154544141378,0.6491383119752541,0.8664365730942469,0.8651891630196896,0.4745912505523641,0.8263702971525144,0.8315523087169137,0.5618647812638091,0.7273295521736145,0.736190915107727,0.9647765159606934,1232,9051,4,1277
pxhk9llw,20newsgroups_Self_Attention_OE_sequential_cross_20251009_172945,finished,True,0.25,0.05,sequential,Self_Attention_OE_sequential,SelfAttention,20newsgroups,5,0.8460527323611724,0.8388171242152166,0.4900574458683164,0.7651724538921321,0.7548576879792372,0.7719840919133893,0.8056125931266522,0.796837406097227,0.6310207688908529,0.7361027002334595,0.7454706430435181,0.9613391757011414,9051,9051,4,1331
6zay86s0,20newsgroups_Self_Attention_OE_entropy_elbow_higher_cross_20251011_091530,finished,True,0.15,0,entropy_elbow_higher,Self_Attention_OE_entropy_elbow_higher,SelfAttention,20newsgroups,5,0.7191890558256002,0.7175204291578894,0.8448961555457357,0.8247590141947888,0.801424743362283,0.5426425099425541,0.7719740350101945,0.7594725862600862,0.693769332744145,0.7425805330276489,0.7534246444702148,0.9767779111862184,0,0,2,1247
zaj1gu3l,20newsgroups_Self_Attention_OE_max_attention_elbow_lower_cross_20251011_093822,finished,True,0.15,0,max_attention_elbow_lower,Self_Attention_OE_max_attention_elbow_lower,SelfAttention,20newsgroups,5,0.7191053910737959,0.717640470638492,0.8462218294299603,0.824695443868177,0.801256905522534,0.5448519664162615,0.7719004174709865,0.759448688080513,0.6955368979231109,0.7430082559585571,0.7538665533065796,0.9767948985099792,0,0,2,1284
m5pf5vxt,20newsgroups_Self_Attention_OE_removed_avg_elbow_higher_cross_20251011_100152,finished,True,0.15,0,removed_avg_elbow_higher,Self_Attention_OE_removed_avg_elbow_higher,SelfAttention,20newsgroups,5,0.7190040506702018,0.7176176787319996,0.8462218294299603,0.8245508601375291,0.8014859126068683,0.5399911621741051,0.7717774554038654,0.759551795669434,0.6931064958020328,0.7433418035507202,0.7543084621429443,0.9768140912055968,0,0,2,1274
28dtxbeq,20newsgroups_Self_Attention_OE_top_k_avg_elbow_lower_cross_20251011_102517,finished,True,0.15,0,top_k_avg_elbow_lower,Self_Attention_OE_top_k_avg_elbow_lower,SelfAttention,20newsgroups,5,0.7192135071439092,0.7178704448972216,0.8462218294299603,0.8246952888185998,0.8013876238799417,0.5426425099425541,0.7719543979812544,0.7596290343885816,0.6944321696862572,0.7428942918777466,0.7538665533065796,0.9768058061599731,0,0,2,1274
5rdanz38,20newsgroups_Self_Attention_OE_sequential_cross_20251011_104640,finished,True,0.15,0,sequential,Self_Attention_OE_sequential,SelfAttention,20newsgroups,5,0.7410157607895125,0.7433875355043684,0.8210340256296951,0.8317436100193036,0.8094939103163903,0.6690234202386213,0.7863796854044081,0.7764407229103794,0.7450287229341581,0.7410396337509155,0.748563826084137,0.9606406092643738,9051,9051,3,1639
mcy4w1vj,20newsgroups_Self_Attention_OE_entropy_elbow_higher_cross_20251011_122908,finished,True,0.15,0,entropy_elbow_higher,Self_Attention_OE_entropy_elbow_higher,SelfAttention,20newsgroups,5,0.7191890558256002,0.7175204291578894,0.8448961555457357,0.8247590141947888,0.801424743362283,0.5426425099425541,0.7719740350101945,0.7594725862600862,0.693769332744145,0.7425805330276489,0.7534246444702148,0.9767779111862184,0,0,2,1573
ofqo01mw,20newsgroups_Self_Attention_OE_max_attention_elbow_lower_cross_20251011_125728,finished,True,0.15,0,max_attention_elbow_lower,Self_Attention_OE_max_attention_elbow_lower,SelfAttention,20newsgroups,5,0.7191053910737959,0.717640470638492,0.8462218294299603,0.824695443868177,0.801256905522534,0.5448519664162615,0.7719004174709865,0.759448688080513,0.6955368979231109,0.7430082559585571,0.7538665533065796,0.9767948985099792,0,0,2,1547
uxnr3oxd,20newsgroups_Self_Attention_OE_removed_avg_elbow_higher_cross_20251011_132523,finished,True,0.15,0,removed_avg_elbow_higher,Self_Attention_OE_removed_avg_elbow_higher,SelfAttention,20newsgroups,5,0.7190040506702018,0.7176176787319996,0.8462218294299603,0.8245508601375291,0.8014859126068683,0.5399911621741051,0.7717774554038654,0.759551795669434,0.6931064958020328,0.7433418035507202,0.7543084621429443,0.9768140912055968,0,0,2,1478
gyygnf2y,20newsgroups_Self_Attention_OE_top_k_avg_elbow_lower_cross_20251011_135204,finished,True,0.15,0,top_k_avg_elbow_lower,Self_Attention_OE_top_k_avg_elbow_lower,SelfAttention,20newsgroups,5,0.7192135071439092,0.7178704448972216,0.8462218294299603,0.8246952888185998,0.8013876238799417,0.5426425099425541,0.7719543979812544,0.7596290343885816,0.6944321696862572,0.7428942918777466,0.7538665533065796,0.9768058061599731,0,0,2,1485
3mgmblxf,20newsgroups_Self_Attention_OE_sequential_cross_20251011_141658,finished,True,0.15,0,sequential,Self_Attention_OE_sequential,SelfAttention,20newsgroups,5,0.7549598615407276,0.7454854932740079,0.7490057445868317,0.831068756734966,0.8021996938009447,0.5607600530269554,0.7930143091378468,0.7738425935374763,0.6548828988068935,0.7463628053665161,0.7560759782791138,0.9603897929191588,9051,9051,4,1676
52hp05jq,20newsgroups_Self_Attention_OE_entropy_elbow_higher_cross_20251011_155703,finished,True,0.15,0.05,entropy_elbow_higher,Self_Attention_OE_entropy_elbow_higher,SelfAttention,20newsgroups,5,0.7551881720430107,0.7528659387181025,0.7070260715863897,0.8425963051685776,0.824050771060451,0.4993371630578878,0.7988922386057942,0.7884583548892767,0.6031816173221387,0.734183132648468,0.7423774003982544,0.9668437242507936,1231,9051,4,1650
7y81qvlb,20newsgroups_Self_Attention_OE_max_attention_elbow_lower_cross_20251011_162441,finished,True,0.15,0.05,max_attention_elbow_lower,Self_Attention_OE_max_attention_elbow_lower,SelfAttention,20newsgroups,5,0.7881110620120784,0.7943921541426789,0.658859920459567,0.8388420897582002,0.8273875621806235,0.5125939019001325,0.8134765758851392,0.8108898581616513,0.5857269111798498,0.7303458452224731,0.7397260069847107,0.9650592803955078,1231,9051,4,1659
pul94k0q,20newsgroups_Self_Attention_OE_removed_avg_elbow_higher_cross_20251011_165228,finished,True,0.15,0.05,removed_avg_elbow_higher,Self_Attention_OE_removed_avg_elbow_higher,SelfAttention,20newsgroups,5,0.7525537634408602,0.7492546820906143,0.7167476800707026,0.8439477172826012,0.8293009150326153,0.4993371630578878,0.7982507403617307,0.7892777985616148,0.6080424215642952,0.7317028045654297,0.7401679158210754,0.9649385213851928,1229,9051,4,1603
i1k0jj76,20newsgroups_Self_Attention_OE_top_k_avg_elbow_lower_cross_20251011_171922,finished,True,0.15,0.05,top_k_avg_elbow_lower,Self_Attention_OE_top_k_avg_elbow_lower,SelfAttention,20newsgroups,5,0.7745805715127413,0.7777694901652216,0.6517896597437031,0.8595337659216534,0.8523717820116917,0.4657534246575342,0.8170571687171974,0.8150706360884566,0.5587715422006186,0.7299638986587524,0.7397260069847107,0.965844452381134,1232,9051,4,1672
u6bdeeh5,20newsgroups_Self_Attention_OE_sequential_cross_20251011_174722,finished,True,0.15,0.05,sequential,Self_Attention_OE_sequential,SelfAttention,20newsgroups,5,0.7418934305494181,0.7408208821307527,0.8095448519664162,0.8303208750998131,0.8054917138051143,0.6372072470172337,0.7861071528246156,0.7731562979679335,0.723376049491825,0.7451803088188171,0.7538665533065796,0.9599534273147584,9051,9051,3,1603
ksrik5m4,20newsgroups_Self_Attention_OE_entropy_elbow_higher_cross_20251011_192535,finished,True,0.15,0.05,entropy_elbow_higher,Self_Attention_OE_entropy_elbow_higher,SelfAttention,20newsgroups,5,0.753667403152158,0.7565230182711014,0.7118868758285462,0.8514209518493538,0.8418983512354522,0.4812196199734865,0.8025441775007559,0.7992106847532767,0.5965532479010163,0.7329975962638855,0.7410516738891602,0.9657136797904968,1231,9051,4,1694
9zg58n3a,20newsgroups_Self_Attention_OE_max_attention_elbow_lower_cross_20251011_195357,finished,True,0.15,0.05,max_attention_elbow_lower,Self_Attention_OE_max_attention_elbow_lower,SelfAttention,20newsgroups,5,0.7893967447341288,0.803278032922832,0.6752098983650022,0.8484474110596865,0.8461374086417279,0.5108263367211666,0.8189220778969076,0.8247077207822799,0.5930181175430844,0.7319496870040894,0.7410516738891602,0.9632055163383484,1231,9051,4,1716
ll39shfz,20newsgroups_Self_Attention_OE_removed_avg_elbow_higher_cross_20251011_202242,finished,True,0.15,0.05,removed_avg_elbow_higher,Self_Attention_OE_removed_avg_elbow_higher,SelfAttention,20newsgroups,5,0.7492796435410223,0.7529125963168082,0.726027397260274,0.8495243078974503,0.8401856775281107,0.4958020326999558,0.7994019757192363,0.7965491369224594,0.6109147149801148,0.7308884263038635,0.7401679158210754,0.9625191688537598,1229,9051,4,1565
brprjrcn,20newsgroups_Self_Attention_OE_top_k_avg_elbow_lower_cross_20251011_204856,finished,True,0.15,0.05,top_k_avg_elbow_lower,Self_Attention_OE_top_k_avg_elbow_lower,SelfAttention,20newsgroups,5,0.786304021210782,0.7979154544141378,0.6491383119752541,0.8664365730942469,0.8651891630196896,0.4745912505523641,0.8263702971525144,0.8315523087169137,0.5618647812638091,0.7273295521736145,0.736190915107727,0.9647765159606934,1232,9051,4,1627
8hpank3q,20newsgroups_Self_Attention_OE_sequential_cross_20251011_211612,finished,True,0.15,0.05,sequential,Self_Attention_OE_sequential,SelfAttention,20newsgroups,5,0.8460527323611724,0.8388171242152166,0.4900574458683164,0.7651724538921321,0.7548576879792372,0.7719840919133893,0.8056125931266522,0.796837406097227,0.6310207688908529,0.7361027002334595,0.7454706430435181,0.9613391757011414,9051,9051,4,1712
6v28ndyf,20newsgroups_Self_Attention_OE_entropy_elbow_higher_cross_20251011_225802,finished,True,0.25,0,entropy_elbow_higher,Self_Attention_OE_entropy_elbow_higher,SelfAttention,20newsgroups,5,0.719385550154662,0.7175699911290039,0.8462218294299603,0.8248213441247838,0.8014657669641372,0.5444100751215201,0.7721034471397229,0.7595178790465705,0.6953159522757402,0.7425359487533569,0.7534246444702148,0.9767862558364868,0,0,2,1613
zwxp8d09,20newsgroups_Self_Attention_OE_max_attention_elbow_lower_cross_20251011_232700,finished,True,0.25,0,max_attention_elbow_lower,Self_Attention_OE_max_attention_elbow_lower,SelfAttention,20newsgroups,5,0.7192174105170128,0.7176514558018853,0.8448961555457357,0.8246439674085788,0.8014460409521063,0.5444100751215201,0.7719306889627958,0.7595487483769958,0.694653115333628,0.7430749535560608,0.7538665533065796,0.9767937660217284,0,0,3,1548
mrfl4p09,20newsgroups_Self_Attention_OE_removed_avg_elbow_higher_cross_20251011_235451,finished,True,0.25,0,removed_avg_elbow_higher,Self_Attention_OE_removed_avg_elbow_higher,SelfAttention,20newsgroups,5,0.719278317867138,0.7178895500293259,0.8462218294299603,0.8246663720724702,0.8013312055980639,0.5422006186478127,0.7719723449698042,0.7596103778136949,0.6942112240388865,0.7426474690437317,0.7534246444702148,0.9767991900444032,0,0,2,1534
3war9v6k,20newsgroups_Self_Attention_OE_top_k_avg_elbow_lower_cross_20251012_002228,finished,True,0.25,0,top_k_avg_elbow_lower,Self_Attention_OE_top_k_avg_elbow_lower,SelfAttention,20newsgroups,5,0.7192135071439092,0.7178704448972216,0.8462218294299603,0.8246952888185998,0.8013876238799417,0.5426425099425541,0.7719543979812544,0.7596290343885816,0.6944321696862572,0.7428942918777466,0.7538665533065796,0.9768058061599731,0,0,2,1455
